season_week,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
43.0,48036.96179111869,647.4606221285648,10831.471670143635,1367.9035197072637,1967.8679491797723,702.8334139505874,2463.2827190191706,723.1237886651558,814.6370451958205,557.2566623327665,10932.401861732635,2482.3906911685062,0.0
44.0,48292.02372372135,656.9813977641692,10803.867101081174,1377.0781094966126,1988.8927396588776,656.5344298072191,2491.8851873339777,717.3455504646585,846.6056840406126,567.7036278461496,11065.68746865324,2539.146756323296,0.0
45.0,48565.8356266871,613.9161592393634,10903.259623777958,1395.7823812094273,2008.884377075163,682.9259826338015,2412.825371172994,724.1757129581366,848.4427195437719,582.6962263502404,10987.209225487524,2516.740916613459,0.0
46.0,48074.65512559747,645.9385045165706,10843.87666171833,1392.7466568549874,1969.1838390280873,639.1717788215714,2479.160711708599,714.5029645825489,845.6443769045414,578.4145403181348,10945.309004083398,2513.2000613551877,0.0
47.0,47946.1913507232,653.7055106908091,10905.604179315613,1353.432758335928,1965.2104572010223,644.2793360915522,2474.3989159834914,682.8708081250751,844.0971826981421,558.0331055485414,10831.079992674915,2523.669212814213,0.0
48.0,48424.009714370164,662.3564121150607,10926.98653065878,1382.986544554609,2030.4645090064312,663.7402031800951,2409.607857579003,678.3974042171477,822.9728090321815,537.6570463718245,11023.523794620318,2587.364331689961,0.0
49.0,48615.83710635465,665.5287815778743,10774.350089034808,1379.0758415243552,2012.454930470935,683.781248045805,2445.4971617791202,708.9968113405088,871.4771715875364,592.2834723197174,11019.126519407959,2533.5826622136633,0.0
50.0,49038.7453757892,682.5523389662493,10902.936828729014,1417.2500500728795,2074.643296559763,681.1506961560847,2541.5938917963554,713.8192794811736,864.5043649673756,574.2757655892394,11121.073384984133,2574.2934636377254,0.0
51.0,48979.68469809616,654.6702159215728,10914.307444914586,1417.5171445704352,2088.647697294499,681.5999958841797,2528.499311508804,737.2284229193059,850.5589302784275,559.1038216443587,11115.034048474603,2536.8317540605676,0.0
52.0,49087.62143429144,691.929634134687,10992.620465419452,1406.9385018609603,2058.6971457634245,709.2409187694585,2501.4067209712507,741.3713889620826,859.8796220312355,588.4999345875125,11057.88055738852,2609.4497061460565,0.0
